Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Congo, Democratic Republic of the",-2.5,23.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Côte d'Ivoire,8,-5.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Madagascar,-20,47,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
India,22,79,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Karnataka,14.66667,75.83333,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Japan,35.68536,139.75309,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Honshu,36,138,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Vietnam,16.16667,107.83333,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Greece,39,22,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Costa Rica,10,-84,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Cuba,22,-79.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Dominican Republic,19,-70.66667,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
El Salvador,13.83333,-88.91667,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Guadeloupe,16.25,-61.58333,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Guatemala,15.5,-90.25,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Haiti,19.07582,-72.29616,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Honduras,15,-86.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Jamaica,18.16667,-77.25,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Mexico,23,-102,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Nicaragua,13,-85,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Panama,9,-80,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Puerto Rico,18.24829,-66.49989,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Trinidad and Tobago,11,-61,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
U.S. Virgin Islands,18.34829,-64.98348,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
United States,39.76,-98.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Florida,28.75054,-82.5001,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Indiana,40.00032,-86.25027,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Louisiana,31.00047,-92.0004,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Mississippi,32.75041,-89.75036,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - North Carolina,35.50069,-80.00032,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Oklahoma,35.49209,-97.50328,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - South Carolina,34.00043,-81.00009,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Texas,31.25044,-99.25061,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
American Samoa,-14.23377,-169.47767,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007); Brooks (2002),-
Fiji,-18,178,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
New Caledonia,-21.5,165.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Papua New Guinea,-6,147,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Samoa,-13.8,-172.13333,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Argentina,-34,-64,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Bolivia,-17,-65,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Brazil,-10,-55,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Acre,-9,-70,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
 - Amazonas,-3.75,-64.5,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Colombia,4,-73.25,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Peru,-10,-75.25,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Suriname,4,-56,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
Venezuela,8,-66,Present,-,Not recorded,-,Not recorded,-,CABI and EPPO (2007),-
