Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
Angola,-12.5,18.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Benin,9.5,2.25,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Burundi,-3.5,30,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Cameroon,6,12.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Central African Republic,7,21,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Comoros,-12.23333,44.44553,Present,Widespread,Not recorded,-,Not recorded,-,EPPO (2020),-
"Congo, Democratic Republic of the",-2.5,23.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
"Congo, Republic of the",-1,15.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Côte d'Ivoire,8,-5.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Eritrea,15,39,Present,Widespread,Not recorded,-,Not recorded,-,CABI and EPPO (1998),-
Ethiopia,9,39.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Ghana,8.1,-1.2,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Guinea,10.83333,-10.66667,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
Kenya,1,38,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020); King'ori and Masaba (1994),-
Liberia,6.5,-9.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (1998); EPPO (2020),-
