Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
Costa Rica,10,-84,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Cuba,22,-79.5,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Dominica,15.5,-61.33333,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Dominican Republic,19,-70.66667,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
El Salvador,13.83333,-88.91667,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Guadeloupe,16.25,-61.58333,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Guatemala,15.5,-90.25,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Haiti,19.07582,-72.29616,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Honduras,15,-86.5,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Jamaica,18.16667,-77.25,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Martinique,14.66667,-61,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Mexico,23,-102,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Nicaragua,13,-85,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Panama,9,-80,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Puerto Rico,18.24829,-66.49989,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Trinidad and Tobago,11,-61,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
United States,39.76,-98.5,Present,Localized,Not recorded,-,Not recorded,-,EPPO (2020),-
 - Florida,28.75054,-82.5001,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Bolivia,-17,-65,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Brazil,-10,-55,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Colombia,4,-73.25,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Ecuador,-1.25,-78.25,Present,-,Not recorded,-,Not recorded,-,EPPO (2020),-
French Guiana,4,-53,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Guyana,5,-59,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Peru,-10,-75.25,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Suriname,4,-56,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
Venezuela,8,-66,Present,-,Not recorded,-,Not recorded,-,"CABI (Undated); EPPO (2020); UK, CAB International (1996)",-
