Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
Angola,-12.5,18.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
"Congo, Democratic Republic of the",-2.5,23.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a),-
Côte d'Ivoire,8,-5.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Ethiopia,9,39.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Gabon,-1,11.75,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Ghana,8.1,-1.2,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Kenya,1,38,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Madagascar,-20,47,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Malawi,-13.5,34,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Mauritius,-20.3,57.58333,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Mozambique,-18.25,35,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Nigeria,10,8,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Sierra Leone,8.5,-11.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Somalia,6,48,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
South Africa,-29,24,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Sudan,16,30,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Tanzania,-6,35,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Togo,8.66667,1.08333,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Uganda,1.25,32.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Zimbabwe,-19,29.75,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Brunei,4.5,114.66667,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Cambodia,13,105,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
China,35,105,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
India,22,79,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
 - Karnataka,14.66667,75.83333,Present,-,Not recorded,-,Not recorded,-,CABI (Undated a),-
Indonesia,-5,120,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Japan,35.68536,139.75309,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Laos,18,105,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Myanmar,21,96,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Nepal,28,84,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Philippines,13,122,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Taiwan,24,121,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Thailand,15.5,101,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Yemen,15.5,47.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Costa Rica,10,-84,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Cuba,22,-79.5,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Dominican Republic,19,-70.66667,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
El Salvador,13.83333,-88.91667,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Guadeloupe,16.25,-61.58333,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Guatemala,15.5,-90.25,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Haiti,19.07582,-72.29616,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Jamaica,18.16667,-77.25,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Martinique,14.66667,-61,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Panama,9,-80,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Puerto Rico,18.24829,-66.49989,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
Trinidad and Tobago,11,-61,Present,-,Not recorded,-,Not recorded,-,Crous and Braun (2003),-
United States,39.76,-98.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated),Present based on regional distribution.
