"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"1","Algeria","Canada",0.8,2.61732301,28.15893849,-98.30777028,61.36206324
"2","Algeria","United Arab Emirates",0.2,2.61732301,28.15893849,54.3001671,23.90528188
"3","Argentina","Uruguay",0.8,-65.17980692,-35.3813488,-56.01807053,-32.79951534
"4","Armenia","Georgia",52.6,44.92993276,40.28952569,43.50780252,42.16855755
"5","Armenia","Russian Federation",128.8,44.92993276,40.28952569,96.68656112,61.98052209
"6","Australia","Bahrain",0.2,134.4910001,-25.73288704,50.54196932,26.04205135
"7","Australia","Bangladesh",0.4,134.4910001,-25.73288704,90.23812743,23.86731158
"8","Australia","Belgium",7.4,134.4910001,-25.73288704,4.64065114,50.63981576
"9","Australia","Bulgaria",0.2,134.4910001,-25.73288704,25.21552909,42.76890318
"10","Australia","Cambodia",0.6,134.4910001,-25.73288704,104.9069433,12.72004786
"11","Australia","Canada",3.6,134.4910001,-25.73288704,-98.30777028,61.36206324
"12","Australia","China, Hong Kong SAR",33.8,134.4910001,-25.73288704,114.1138045,22.39827737
"13","Australia","China, Macao SAR",0.2,134.4910001,-25.73288704,113.5093212,22.22311688
"14","Australia","China, mainland",39.2,134.4910001,-25.73288704,103.8190735,36.56176546
"15","Australia","China, Taiwan Province of",16.8,134.4910001,-25.73288704,120.9542728,23.7539928
"16","Australia","Fiji",24.2,134.4910001,-25.73288704,165.4519543,-17.42858032
"17","Australia","France",8.6,134.4910001,-25.73288704,-2.76172945,42.17344011
"18","Australia","Germany",48.2,134.4910001,-25.73288704,10.38578051,51.10698181
"19","Australia","Greece",4.6,134.4910001,-25.73288704,22.95555794,39.07469623
"20","Australia","Indonesia",4.8,134.4910001,-25.73288704,117.2401137,-2.21505456
"21","Australia","Italy",0.2,134.4910001,-25.73288704,12.07001339,42.79662641
"22","Australia","Japan",29.4,134.4910001,-25.73288704,138.0308956,37.59230135
"23","Australia","Kuwait",2.2,134.4910001,-25.73288704,47.58700459,29.33431262
"24","Australia","Lebanon",0.2,134.4910001,-25.73288704,35.88016072,33.92306631
"25","Australia","Malaysia",27.2,134.4910001,-25.73288704,109.6976228,3.78986846
"26","Australia","Myanmar",0.4,134.4910001,-25.73288704,96.48843321,21.18566599
"27","Australia","Nauru",11.8,134.4910001,-25.73288704,166.9325682,-0.51912639
"28","Australia","Netherlands",3.8,134.4910001,-25.73288704,5.28144793,52.1007899
